path,category,filename,bytes,sha256,source_url,product,doc_type,title
knowledge_fabric/product_manuals/StatStrip_Glucose_Hospital_Gen_1_86__LPN_55848_M.pdf,product_manual,StatStrip_Glucose_Hospital_Gen_1_86__LPN_55848_M.pdf,4132547,9047785d3413ced6c8a64b74e0e084ded9789f96c8c831e1f291c489fe5e62f9,https://novabiomedicaldocs.com/wp-content/uploads/filr/26782/LPN-55848-M-StatStrip-1.86-Glu-IFU-EN.pdf,StatStrip Glucose Hospital (Gen 1.86),IFU Manual,StatStrip Glucose (Generation 1.86) - Instructions For Use Manual
knowledge_fabric/product_manuals/StatStrip_Glucose_Hospital_Gen_2__LPN_65965_D.pdf,product_manual,StatStrip_Glucose_Hospital_Gen_2__LPN_65965_D.pdf,5466472,9903a5de19fba0e44d5267c8e24d06210eaa32f9eb31eb6c76327fcd4319f96f,https://novabiomedicaldocs.com/wp-content/uploads/filr/26780/LPN-65965-D-StatStrip-2.0-Glu-IFU-EN.pdf,StatStrip Glucose Hospital (Gen 2),IFU Manual,StatStrip Glucose (Generation 2) - Instructions For Use Manual
knowledge_fabric/product_manuals/StatStrip_Xpress2_Glucose__LPN_57577_G.pdf,product_manual,StatStrip_Xpress2_Glucose__LPN_57577_G.pdf,1745779,ebe90931d70c62a8d1af41b86edc510e86636aef46fa96b73cbf7be511a0e8ac,https://novabiomedicaldocs.com/wp-content/uploads/filr/26788/LPN_57577_G_StatStrip_Xpress_2_Glu_IFU_EN_Instruction_Manual.pdf,StatStrip Xpress2 Glucose,IFU Manual,StatStrip Xpress2 - Instructions For Use Manual
knowledge_fabric/product_manuals/Stat_Profile_Prime_CCS__LPN_52920.pdf,product_manual,Stat_Profile_Prime_CCS__LPN_52920.pdf,3263835,acecf8467ef66119f493248b845c2cc816b169336a8dc25c7686d9e8b0a79d21,https://novabiomedicaldocs.com/wp-content/uploads/filr/26698/LPN-52920-Prime-CCS-IFU-EN-Manual-IFU.pdf,Stat Profile Prime CCS,IFU Manual,Stat Profile Prime CCS - Instructions For Use Manual
knowledge_fabric/product_manuals/Stat_Profile_Prime_ES_Comp_Plus__LPN_62064.pdf,product_manual,Stat_Profile_Prime_ES_Comp_Plus__LPN_62064.pdf,4736529,72d9540ad0bcfca44c2b41181f56ef2a061f5e0ba1b42dfcc4b99e7f040312fd,https://novabiomedicaldocs.com/wp-content/uploads/filr/26702/LPN_62064_Prime_ES_Comp_Plus_IFU_EN_Analyzer_Instructions_Manual.pdf.pdf,Stat Profile Prime ES Comp Plus,IFU Manual,Stat Profile Prime ES Comp Plus - Instructions For Use Manual
knowledge_fabric/product_manuals/Stat_Profile_Prime_Plus__LPN_60278_E.pdf,product_manual,Stat_Profile_Prime_Plus__LPN_60278_E.pdf,4732690,b2f709bc378742833c4e57b4517ffc07677bf0a62ccfa609c1c5c76fb18ad822,https://novabiomedicaldocs.com/wp-content/uploads/filr/26647/LPN_60278_E_Prime_Plus_IFU_instructions.pdf,Stat Profile Prime Plus,IFU Manual,Stat Profile Prime Plus - Instructions For Use Manual
knowledge_fabric/fda_files/documents/K163490_REVIEW_StatStrip_Xpress_2_Glucose_Hospital_Meter_System.pdf,fda_document,K163490_REVIEW_StatStrip_Xpress_2_Glucose_Hospital_Meter_System.pdf,232031,b5e69d52be99ec7c6ff2d0704fbdeed52424022ed75e97ebd5640474feb83d02,https://raw.githubusercontent.com/prashobh-ai/novabiomedical_v2/main/docs_source/fda_regulatory/K163490_REVIEW_StatStrip_Xpress_2_Glucose_Hospital_Meter_System.pdf,,FDA 510(k),K163490 REVIEW StatStrip Xpress 2 Glucose Hospital Meter System
knowledge_fabric/fda_files/documents/K163490_StatStrip_Xpress_2_Glucose_Hospital_Meter_System.pdf,fda_document,K163490_StatStrip_Xpress_2_Glucose_Hospital_Meter_System.pdf,1676205,5b46469d5e2cf37248e0f5c7aded9eaf3c2587c3f33be7bc35653328754ed742,https://raw.githubusercontent.com/prashobh-ai/novabiomedical_v2/main/docs_source/fda_regulatory/K163490_StatStrip_Xpress_2_Glucose_Hospital_Meter_System.pdf,,FDA 510(k),K163490 StatStrip Xpress 2 Glucose Hospital Meter System
knowledge_fabric/fda_files/documents/K181043_REVIEW_StatStrip_Glucose_Hospital_Meter_System.pdf,fda_document,K181043_REVIEW_StatStrip_Glucose_Hospital_Meter_System.pdf,354623,cdd233f3e76cd7d49fc93bd5dba4d12980a16698c138a4b3923bd9421b92ef25,https://raw.githubusercontent.com/prashobh-ai/novabiomedical_v2/main/docs_source/fda_regulatory/K181043_REVIEW_StatStrip_Glucose_Hospital_Meter_System.pdf,,FDA 510(k),K181043 REVIEW StatStrip Glucose Hospital Meter System
knowledge_fabric/fda_files/documents/K181043_StatStrip_Glucose_Hospital_Meter_System.pdf,fda_document,K181043_StatStrip_Glucose_Hospital_Meter_System.pdf,237897,1d50912cbb397b5ca2385fa04674fffedab401f8771ae61ea393d1b3f46aecb5,https://raw.githubusercontent.com/prashobh-ai/novabiomedical_v2/main/docs_source/fda_regulatory/K181043_StatStrip_Glucose_Hospital_Meter_System.pdf,,FDA 510(k),K181043 StatStrip Glucose Hospital Meter System
knowledge_fabric/fda_files/documents/K191626_REVIEW_Stat_Profile_Prime_ES_Comp_Plus_Analyzer_System.pdf,fda_document,K191626_REVIEW_Stat_Profile_Prime_ES_Comp_Plus_Analyzer_System.pdf,177132,a98be00d2e85b8f9644dec1b44e37adf8f78b2312a1df5e43214de2d20a2974c,https://raw.githubusercontent.com/prashobh-ai/novabiomedical_v2/main/docs_source/fda_regulatory/K191626_REVIEW_Stat_Profile_Prime_ES_Comp_Plus_Analyzer_System.pdf,,FDA 510(k),K191626 REVIEW Stat Profile Prime ES Comp Plus Analyzer System
knowledge_fabric/fda_files/documents/K191626_Stat_Profile_Prime_ES_Comp_Plus_Analyzer_System.pdf,fda_document,K191626_Stat_Profile_Prime_ES_Comp_Plus_Analyzer_System.pdf,1109839,df7fff74b2f7fa9890f0139b93f85b0d39dfee5c1bdc64a254c7461b70eb10f7,https://raw.githubusercontent.com/prashobh-ai/novabiomedical_v2/main/docs_source/fda_regulatory/K191626_Stat_Profile_Prime_ES_Comp_Plus_Analyzer_System.pdf,,FDA 510(k),K191626 Stat Profile Prime ES Comp Plus Analyzer System
knowledge_fabric/fda_files/documents/K193246_REVIEW_Stat_Profile_Prime_Plus_Analyzer_System.pdf,fda_document,K193246_REVIEW_Stat_Profile_Prime_Plus_Analyzer_System.pdf,87957,a7bedf061cbb8058b425dc78469f409db0009a1ffae59b77fa7365e684c62c31,https://raw.githubusercontent.com/prashobh-ai/novabiomedical_v2/main/docs_source/fda_regulatory/K193246_REVIEW_Stat_Profile_Prime_Plus_Analyzer_System.pdf,,FDA 510(k),K193246 REVIEW Stat Profile Prime Plus Analyzer System
knowledge_fabric/fda_files/documents/K193246_Stat_Profile_Prime_Plus_Analyzer_System.pdf,fda_document,K193246_Stat_Profile_Prime_Plus_Analyzer_System.pdf,299860,aeefc6e1258d5d9a6e89d8dd138b9737e37ce23657cda6718539a9b76f567cd8,https://raw.githubusercontent.com/prashobh-ai/novabiomedical_v2/main/docs_source/fda_regulatory/K193246_Stat_Profile_Prime_Plus_Analyzer_System.pdf,,FDA 510(k),K193246 Stat Profile Prime Plus Analyzer System
knowledge_fabric/fda_files/documents/K200403_REVIEW_Stat_Profile_Prime_Plus_Analyzer_System.pdf,fda_document,K200403_REVIEW_Stat_Profile_Prime_Plus_Analyzer_System.pdf,122297,5c27dbcd60365d657e11e4ca03618206da534635efbe28809e39260ebc546f12,https://raw.githubusercontent.com/prashobh-ai/novabiomedical_v2/main/docs_source/fda_regulatory/K200403_REVIEW_Stat_Profile_Prime_Plus_Analyzer_System.pdf,,FDA 510(k),K200403 REVIEW Stat Profile Prime Plus Analyzer System
